puzzle,algorithm,iteration,time,maximum
MaxKColor,RHC,98,0.001502936,-0.615384615
MaxKColor,SA,75,0.002412686,-0.923076923
MaxKColor,GA4,93,0.028546443,-0.846153846
MaxKColor,MM16,16,2.918430475,-1.615384615
MaxKColor,MM128,2,3.172840522,0
Knapsack,RHC,60,0.001944138,39.61538462
Knapsack,SA,95,0.002765234,81.46153846
Knapsack,GA4,99,0.022754761,114.6923077
Knapsack,MM16,4,1.843381075,80.84615385
Knapsack,MM128,21,2.055518811,115
TravellingSales,RHC,78,0.008706295,-17.71933657
TravellingSales,SA,98,0.009969436,-18.70047737
TravellingSales,GA4,83,0.063262719,-20.74119129
TravellingSales,MM16,1,1.985254434,-22.25161198
TravellingSales,MM128,2,5.752842445,-18.42622127
MaxKColor,RHC,80,0.001168526135958158,-0.46153846153846156
MaxKColor,SA,65,0.002029859102689303,-1.3076923076923077
MaxKColor,GA4,98,0.024553629068227913,-1.2307692307692308
MaxKColor,MM16,19,2.3863637080559363,-1.2307692307692308
MaxKColor,MM128,2,2.5137469401726356,0.0
Knapsack,RHC,59,0.0018475605891301082,32.46153846153846
Knapsack,SA,99,0.0025505652794471155,60.15384615384615
Knapsack,GA4,94,0.021585996334369365,86.15384615384616
Knapsack,MM16,6,1.7436504730811486,57.53846153846154
Knapsack,MM128,22,1.9409430944002593,87.15384615384616
TravellingSales,RHC,98,0.011121529799241286,-18.16425154124582
TravellingSales,SA,81,0.012020019384530874,-18.903411166676708
TravellingSales,GA4,88,0.08562597861656776,-20.43752186511164
TravellingSales,MM16,1,2.5957274987147403,-22.270623792211946
TravellingSales,MM128,3,7.650023937225342,-18.83123982796748
MaxKColor,RHC,66,0.0009640180147611178,-0.3076923076923077
MaxKColor,SA,302,0.0016268583444448619,0.0
MaxKColor,GA4,784,0.018318653106689453,-0.15384615384615385
MaxKColor,MM16,5,1.8957627736605132,-1.0769230769230769
MaxKColor,MM128,2,2.0542307450221133,0.0
Knapsack,RHC,167,0.004835000404944787,30.76923076923077
Knapsack,SA,125,0.00626222903911884,92.84615384615384
Knapsack,GA4,966,0.05802458983201247,123.6923076923077
Knapsack,MM16,40,4.740209377728975,66.76923076923077
Knapsack,MM128,16,5.369180000745333,113.38461538461539
TravellingSales,RHC,141,0.014869616581843449,-18.19154279297341
TravellingSales,SA,325,0.016392634465144232,-17.342617547667324
TravellingSales,GA4,894,0.11115494141211876,-18.619772245078504
TravellingSales,MM16,1,3.504871368408203,-20.970012544035285
TravellingSales,MM128,6,10.180066530521099,-18.47151193043737
MaxKColor,RHC,75,0.0011390355917123647,-0.15384615384615385
MaxKColor,SA,252,0.0016931387094350962,0.0
MaxKColor,GA4,788,0.020914554595947266,-0.15384615384615385
MaxKColor,MM16,2,2.1095207654512844,-1.1538461538461537
MaxKColor,MM128,2,2.258990929676936,0.0
Knapsack,RHC,128,0.003741301023043119,45.92307692307692
Knapsack,SA,180,0.004831240727351262,101.46153846153847
Knapsack,GA4,859,0.04365163583021898,131.69230769230768
Knapsack,MM16,4,3.5085016947526197,86.3076923076923
Knapsack,MM128,15,3.9048841183002176,122.6923076923077
TravellingSales,RHC,146,0.014139450513399564,-17.512402596728542
TravellingSales,SA,360,0.01631760597229004,-17.512402596728542
TravellingSales,GA4,991,0.11361098289489746,-18.804326520661157
TravellingSales,MM16,1,3.450907853933481,-22.17258543207583
TravellingSales,MM128,2,10.32657997424786,-18.65685834514237
Knapsack,RHC,15,0.0006625102116511419,14.076923076923077
Knapsack,SA,197,0.0009067975557767428,110.15384615384616
Knapsack,GA4,934,0.006522838885967548,145.15384615384616
Knapsack,MM16,6,0.6643254023331863,94.15384615384616
Knapsack,MM128,40,0.7269127919123723,127.38461538461539
